texto
'@odimau @gduvivier não adianta: pelegos do pt têm merda na cabeça  gosta de comunista ladrãovai pra cuba ver o que ébom #bolsonaro2018 ht'
'13 anos de governado petista só tivemos roubalheira e aumento da miséria   https://tco/blhe1k6jxy'
'13 anos de governado petista só tivemos roubalheira e aumento da miséria   https://tco/blhe1kokpw'
"'rt @probrasil_:  : sem mais❗️ah, é o verbo 😉😂 https://tco/xknbewsdua'"
'rt @probrasil_: 😂😂 @gleisi #organizaçãocriminosapt @lulapelobrasil  @dilmabr #dilmabandida 😂😂 https://tco/amvrzkxiqk'
'@ptbrasil #féemmoro '
'rt @probrasil_: 😂😂 @gleisi #organizaçãocriminosapt @lulapelobrasil  @dilmabr #dilmabandida 😂😂 https://tco/amvrzkxiqk'
'@marcuspitter lulanacadeia  lulanacadeia '
'lulanacadeia  lulanacadeia  https://tco/bctnvzqy4f'
'@andrizek '
"'rt @helenafantini: @roxmo haja paciência com esse lixo, nojento  #somostodosmoro  '"
'@folha '
'@chicolangreal '
"'@augustodefranco  e temer ,dilma, aécio e seus asseclas também tchau, iolanda https://tco/bre2dzeuey'"
'@graavieira '
"' e temer ,dilma, aécio e seus asseclas também tchau, iolanda https://tco/bre2dzeuey https://tco/hrxhzelpzj'"
'@alefrotabrasil não vai acabar não pq o molusco ainda não foi preso '
'@portalr7 inclusive o da cadeia que irá em 2018 '
'@mariadorosario  #foratemer  '
'kkkkkkkkk é um fanfarrão mesmo sem vergonha  bandido só não vê quem não quer   #bandido https://tco/hvkwhsjrpb'
"'rt @marimpnetto: os açougueiros  crias  de luladrão e temer drácula e seus asseclas estão ferrados, kkk  e temer tam… '"
"'esses ratos malditos tem dinheiro do povo enfiado até no *c😡  e temer, dilma e seus asseclas também https://tco/quxu14u4ge'"
'rt @blogdotato67: na papuda                                                  #tocommoro https://tco/m2uzae2yla'
"'@fausto_macedo esses ratos malditos tem dinheiro do povo enfiado até no *c😡  e temer, dilma e seus asseclas também'"
'rt @blogdotato67: #eleições em quem você votará para presidente em 2018   estará fora da disputa'
'@ptbrasil '
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'#doritosgarage  '
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@ptbrasil  saporra tá demorando'
'#fénobrasil  vai ter fé '
"'parada respiratória, em breve cardíaca   https://tco/qvyh4pu8px'"
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
"'rt @claudianofg: @folha só tem essa preocupação quem é bandido, comunista, socialista, esquerda caviar, lulopetista … '"
"'quando o boquinha ptralha fica putinho, se falarem do seu bandido de estimação 😅😅😅  saporra tá demorando https://tco/vdjvabykt2'"
'rt @ezequiasns:  https://tco/pafcyuzelx'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@marcuspitter '
'@penoticias1 #bolsonaro2018    e  '
'@fabi_aguiar_  mas nao seria uma vitoria mais bonita se fosse nas urnas e depois cadeia'
"'@osvladpereira @dahorawilson @diariodopoder e caminha a trama p institucionalizar o comuno-bolivarianismo no br, via ex-pgr, @stf_oficial e c'
"'rt @claudianofg: @folha só tem essa preocupação quem é bandido, comunista, socialista, esquerda caviar, lulopetista … '"
"'segundamente, '"
"'não sou intelectual,  e ,contra fatos não existe argumentos 😅😅😅  https://tco/owtjn25dzt'"
'imagina quantos anos de prisão o chefe da orcrim vai ganhar  https://tco/gr8ojwlhtj'
'rt @spd_33: 🔰apresento aqui a grande verdade‼️ #foraesquerda   https://tco/mpstxkkv7z'
'@lulapelobrasil mas agora o povo acordou '
'rt @spd_33: 🔰apresento aqui a grande verdade‼️ #foraesquerda   https://tco/mpstxkkv7z'
'rt @spd_33: 🔰apresento aqui a grande verdade‼️ #foraesquerda   https://tco/mpstxkkv7z'
"'para uma legião de idiotas, o corrupto lula continua sendo o queridinho #opniaoenoticia  https://tco/jrzkbompbi https://tco/x4w9a15t9v'"
'rt @spd_33: 🔰apresento aqui a grande verdade‼️ #foraesquerda   https://tco/mpstxkkv7z'
'rt @spd_33: 🔰apresento aqui a grande verdade‼️ #foraesquerda   https://tco/mpstxkkv7z'
"'rt @direita_blog: para uma legião de idiotas, o corrupto lula continua sendo o queridinho #opniaoenoticia … '"
"'@lulapelobrasil sim, existe uma outra alternativa  e ela passa por relegar a quadrilha @ptnacional ao ostracismo perpétuo e pra vc a tranca''
'rt @to_de_olho: moro dá 15 dias a lula para provar que valores bloqueados são de marisa   https://tco/zyrsrh50bs … https://t…'
"'rt @direita_blog: para uma legião de idiotas, o corrupto lula continua sendo o queridinho #opniaoenoticia … '"
'rt @spd_33: 🔰apresento aqui a grande verdade‼️ #foraesquerda   https://tco/mpstxkkv7z'
'rt @spd_33: 🔰apresento aqui a grande verdade‼️ #foraesquerda   https://tco/mpstxkkv7z'
"'rt @claudianofg: @folha só tem essa preocupação quem é bandido, comunista, socialista, esquerda caviar, lulopetista … '"
'rt @spd_33: 🔰apresento aqui a grande verdade‼️ #foraesquerda   https://tco/mpstxkkv7z'
'rt @spd_33: 🔰apresento aqui a grande verdade‼️ #foraesquerda   https://tco/mpstxkkv7z'
'um dos meus sonhos   @ptbrasil @lulapelobrasil https://tco/ezqktvdkzq'
'@alvarodias_ esse pilantra tá saindo muito pior que a dilma #foratemer '
'rt @spd_33: 🔰apresento aqui a grande verdade‼️ #foraesquerda   https://tco/mpstxkkv7z'
'rt @spd_33: 🔰apresento aqui a grande verdade‼️ #foraesquerda   https://tco/mpstxkkv7z'
'@lulapelobrasil a esquerda é um lixo  https://tco/xli9t6mzhr'
"'rt @claudianofg: @folha só tem essa preocupação quem é bandido, comunista, socialista, esquerda caviar, lulopetista … '"
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @spd_33: 🔰apresento aqui a grande verdade‼️ #foraesquerda   https://tco/mpstxkkv7z'
'@anaperugini @lulapelobrasil @dilmabr kkkkkkkkkkkkkkkkkkkkkkkkk #féemmoro '
'@ptbrasil com a transposição lula e dilma enriqueceram com o superfaturamento e propinas dos amigos empreiteiros  #féemmoro'
'rt @blogdotato67: #eleições em quem você votará para presidente em 2018   estará fora da disputa'
"'@ptnacamara mudaram mesmo para pior mas com o vice-presidente que vocês elegeram, as coisas já estão mudando  #féemmoro'"
"'@blogdojefferson e deu no que deu, nen tudo ta perdido  #dilmatbm'"
'@ptnacamara o brasil que me interessa é com '
'@blogdojefferson e toma berita p relaxar kkkkk por isso ta com aquela cara mais papudinha do que nunca '
'rt @spd_33: 🔰apresento aqui a grande verdade‼️ #foraesquerda   https://tco/mpstxkkv7z'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @probrasil_: moro dá 15 dias a @lulapelobrasil para provar que valores bloqueados são de marisa e agora … '
'rt @spd_33: 🔰apresento aqui a grande verdade‼️ #foraesquerda   https://tco/mpstxkkv7z'
'@deciolimapt #ptnuncamais '
'@regiancordeiro @nikymentz @mviana78 @indignado72 @marcao1959 qualquer um de nós é melhor que os políticos profissionais corja  #foratemer '
'rt @spd_33: 🔰apresento aqui a grande verdade‼️ #foraesquerda   https://tco/mpstxkkv7z'
'@lulapelobrasil #ptnuncamais '
'@n_carvalheira #foragilmar  #maduropreso #foratemer #foraaecio #mpindependente #3poderespodres #naoreelejaninguem #10medidas'
'@ptnacamara @ptbrasil @ptnosenado @juventudedopt @lulapelobrasil @carloszarattini @guimaraes13pt @gleisi @fpabramo @deputadofederal @henriquef'
'@o_antagonista #foragilmar  #maduropreso #foratemer #foraaecio #mpindependente #3poderespodres #naoreelejaninguem #10medidas'
' https://tco/ytyxqgailc'
'rt @neusamandrade: hoje é dia fazer isso virar viral  @letraslimitadas @o_antagonista @marisascruz @aeciofaraujo https://tco/…'
'oxalá   https://tco/b4bfkmespy'
